# w*t (2*pi)	rel err in unct (5)	rel err in unct (3)
# hb=m=1	V=0	dx=dt=0.01
0.000000e+00 -9.138665e-09 -9.138665e-09
1.000000e-01 -2.367128e-09 5.938738e-09
2.000000e-01 1.793155e-08 5.112351e-08
3.000000e-01 5.171989e-08 1.263311e-07
4.000000e-01 9.893447e-08 2.314210e-07
5.000000e-01 1.594868e-07 3.661974e-07
6.000000e-01 2.332654e-07 5.304104e-07
7.000000e-01 3.201335e-07 7.237564e-07
8.000000e-01 4.199309e-07 9.458797e-07
9.000000e-01 5.324761e-07 1.196376e-06
1.000000e+00 6.575654e-07 1.474790e-06
1.100000e+00 7.949735e-07 1.780623e-06
1.200000e+00 9.444568e-07 2.113330e-06
1.300000e+00 1.105751e-06 2.472325e-06
1.400000e+00 1.278575e-06 2.856982e-06
1.500000e+00 1.462632e-06 3.266640e-06
1.600000e+00 1.657608e-06 3.700601e-06
1.700000e+00 1.863178e-06 4.158140e-06
1.800000e+00 2.079002e-06 4.638501e-06
1.900000e+00 2.304729e-06 5.140903e-06
2.000000e+00 2.539998e-06 5.664543e-06
2.100000e+00 2.784439e-06 6.208598e-06
2.200000e+00 3.037677e-06 6.772230e-06
2.300000e+00 3.299327e-06 7.354586e-06
2.400000e+00 3.569002e-06 7.954803e-06
2.500000e+00 3.846310e-06 8.572010e-06
2.600000e+00 4.130858e-06 9.205331e-06
2.700000e+00 4.422252e-06 9.853886e-06
2.800000e+00 4.720095e-06 1.051680e-05
2.900000e+00 5.023995e-06 1.119319e-05
3.000000e+00 5.333560e-06 1.188219e-05
3.100000e+00 5.648400e-06 1.258293e-05
3.200000e+00 5.968132e-06 1.329456e-05
3.300000e+00 6.292376e-06 1.401623e-05
3.400000e+00 6.620758e-06 1.474711e-05
3.500000e+00 6.952910e-06 1.548639e-05
3.600000e+00 7.288473e-06 1.623326e-05
3.700000e+00 7.627094e-06 1.698693e-05
3.800000e+00 7.968428e-06 1.774664e-05
3.900000e+00 8.312140e-06 1.851164e-05
4.000000e+00 8.657902e-06 1.928121e-05
4.100000e+00 9.005399e-06 2.005463e-05
4.200000e+00 9.354324e-06 2.083124e-05
4.300000e+00 9.704379e-06 2.161036e-05
4.400000e+00 1.005528e-05 2.239136e-05
4.500000e+00 1.040674e-05 2.317362e-05
4.600000e+00 1.075851e-05 2.395656e-05
4.700000e+00 1.111033e-05 2.473961e-05
4.800000e+00 1.146195e-05 2.552221e-05
4.900000e+00 1.181314e-05 2.630386e-05
5.000000e+00 1.216368e-05 2.708406e-05
5.100000e+00 1.251335e-05 2.786234e-05
5.200000e+00 1.286196e-05 2.863824e-05
5.300000e+00 1.320931e-05 2.941135e-05
5.400000e+00 1.355522e-05 3.018125e-05
5.500000e+00 1.389952e-05 3.094757e-05
5.600000e+00 1.424205e-05 3.170994e-05
5.700000e+00 1.458266e-05 3.246804e-05
5.800000e+00 1.492120e-05 3.322154e-05
5.900000e+00 1.525754e-05 3.397014e-05
6.000000e+00 1.559156e-05 3.471357e-05
6.100000e+00 1.592314e-05 3.545157e-05
6.200000e+00 1.625217e-05 3.618390e-05
6.300000e+00 1.657855e-05 3.691034e-05
6.400000e+00 1.690220e-05 3.763069e-05
6.500000e+00 1.722302e-05 3.834474e-05
6.600000e+00 1.754093e-05 3.905235e-05
6.700000e+00 1.785588e-05 3.975333e-05
6.800000e+00 1.816779e-05 4.044756e-05
6.900000e+00 1.847661e-05 4.113491e-05
7.000000e+00 1.878228e-05 4.181526e-05
7.100000e+00 1.908477e-05 4.248850e-05
7.200000e+00 1.938402e-05 4.315456e-05
7.300000e+00 1.968001e-05 4.381335e-05
7.400000e+00 1.997270e-05 4.446481e-05
